RPM,35,50,65,80,95
1500,'+0.48,'-0.16,'-0.32,'-0.71,
2000,'+0.71,'+0.42,'+0.01,'+0.01,'+0.30
2500,'-0.04,'-0.01,'+0.00,'+0.14,'+0.39
3000,'-0.23,'-0.17,'-0.10,'+0.19,'+0.33
3500,'-0.20,'-0.20,'-0.07,'+0.13,'+0.28
4000,'-0.18,'-0.22,'-0.01,'+0.16,'+0.16
4500,,'-0.16,'+0.10,'+0.10,'+0.14
5000,,'-0.23,'+0.16,'+0.07,'+0.30
5500,,'-0.54,'-0.50,'+0.16,'+0.30
6000,,,,,
6500,,,,,
