RPM,35,50,65,80,95
1500,,,,,
2000,,,'+1.09,'+1.17,'+2.30
2500,,,'+2.14,'+0.75,'-0.35
3000,,,'-1.01,'+0.97,'+3.19
3500,,,'+0.38,'+1.10,'+0.63
4000,,,,,
4500,,,,,
5000,,,,,
5500,,,,,
6000,,,,,
6500,,,,,
