RPM,35,50,65,80,95
1500,,,,,
2000,,,'+0.63,'+0.59,'+1.53
2500,,,'+0.65,'+0.75,'+0.11
3000,,,'+0.30,'+0.90,'+1.34
3500,,,'+0.75,'+0.95,'+1.08
4000,,,,,
4500,,,,,
5000,,,,,
5500,,,,,
6000,,,,,
6500,,,,,
