MAP_kPa,1500,2000,2500,3000,3500,4000,4500,5000,5500
35,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
50,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,-0.5,-0.5,-0.5,0.0,0.0,0.0
80,0.0,0.0,-1.0,-1.0,-1.0,-0.5,0.0,0.0,0.0
95,0.0,0.0,-1.5,-1.5,-1.5,-1.0,0.0,0.0,0.0
