cylinder,row_idx,col_idx,rpm,tps_pct,ve_base,ve_new,delta,delta_pct
rear,13,5,4000,15,140.25,136.04,-4.208,-3.00
rear,13,6,4000,20,127.50,129.46,+1.959,+1.54
rear,13,7,4000,25,131.77,129.08,-2.689,-2.04
rear,14,1,4500,2.3,101.00,102.10,+1.101,+1.09
rear,14,2,4500,5,108.34,106.08,-2.260,-2.09
rear,14,3,4500,7.3,105.64,107.39,+1.750,+1.66
rear,14,4,4500,10,112.40,115.34,+2.942,+2.62
rear,14,5,4500,15,131.45,128.39,-3.057,-2.33
rear,14,6,4500,20,140.25,136.04,-4.208,-3.00
rear,14,8,4500,30,126.10,124.63,-1.474,-1.17
rear,14,9,4500,40,119.00,118.02,-0.983,-0.83
rear,14,10,4500,60,114.81,112.38,-2.422,-2.11
rear,15,3,5000,7.3,105.00,105.99,+0.992,+0.94
rear,15,4,5000,10,108.00,110.95,+2.954,+2.74
rear,15,5,5000,15,124.28,122.99,-1.290,-1.04
rear,15,8,5000,30,126.00,125.02,-0.977,-0.78
rear,15,9,5000,40,118.00,119.11,+1.107,+0.94
rear,15,10,5000,60,107.00,110.21,+3.210,+3.00
