cylinder,RPM,MAP_kpa,source,spark_base_deg,spark_new_deg,delta_deg
front,4500,100.0,iter7_wot_sweep,32.00,33.00,+1.00
front,4500,100.0,iter7_wot_sweep,32.00,33.00,+1.00
front,4500,100.0,iter7_wot_sweep,32.00,33.00,+1.00
front,4500,100.0,iter7_wot_sweep,32.00,33.00,+1.00
front,4500,100.0,iter7_wot_sweep,32.00,33.00,+1.00
front,4500,100.0,iter7_wot_sweep,32.00,33.00,+1.00
front,4500,100.0,iter7_wot_sweep,32.00,33.00,+1.00
front,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
front,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
front,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
front,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
front,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
front,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
front,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
front,5500,100.0,iter7_wot_sweep,35.00,36.00,+1.00
front,5500,100.0,iter7_wot_sweep,36.00,37.00,+1.00
front,5500,100.0,iter7_wot_sweep,36.00,37.00,+1.00
front,5500,100.0,iter7_wot_sweep,36.00,37.00,+1.00
front,5500,100.0,iter7_wot_sweep,36.00,37.00,+1.00
front,5500,100.0,iter7_wot_sweep,36.00,37.00,+1.00
front,5500,100.0,iter7_wot_sweep,36.00,37.00,+1.00
rear,4500,100.0,iter7_wot_sweep,31.00,32.00,+1.00
rear,4500,100.0,iter7_wot_sweep,31.00,32.00,+1.00
rear,4500,100.0,iter7_wot_sweep,31.00,32.00,+1.00
rear,4500,100.0,iter7_wot_sweep,31.00,32.00,+1.00
rear,4500,100.0,iter7_wot_sweep,31.00,32.00,+1.00
rear,4500,100.0,iter7_wot_sweep,31.00,32.00,+1.00
rear,4500,100.0,iter7_wot_sweep,31.00,32.00,+1.00
rear,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
rear,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
rear,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
rear,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
rear,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
rear,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
rear,5000,100.0,iter7_wot_sweep,33.00,34.00,+1.00
rear,5500,100.0,iter7_wot_sweep,33.00,34.00,+1.00
rear,5500,100.0,iter7_wot_sweep,34.00,35.00,+1.00
rear,5500,100.0,iter7_wot_sweep,34.00,35.00,+1.00
rear,5500,100.0,iter7_wot_sweep,34.00,35.00,+1.00
rear,5500,100.0,iter7_wot_sweep,34.00,35.00,+1.00
rear,5500,100.0,iter7_wot_sweep,34.00,35.00,+1.00
rear,5500,100.0,iter7_wot_sweep,34.00,35.00,+1.00
