MAP_kPa,1500,2000,2500,3000,3500,4000,4500,5000,5500
35,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
50,58.0,58.0,58.1,65.0,66.9,62.4,58.0,58.0,58.0
65,58.0,59.3,68.4,76.5,78.7,73.5,64.2,58.0,58.0
80,59.5,68.2,78.6,88.0,90.6,84.5,73.8,64.2,58.0
95,67.2,77.1,88.9,99.4,102.4,95.5,83.4,72.6,64.7
