RPM,35,50,65,80,95
1500,,,,,
2000,'+12.94,'+12.82,,,
2500,,'+12.70,'+17.27,,
3000,,,'+17.57,'+17.97,'+18.11
3500,,,,,'+17.62
4000,,,,,'+17.87
4500,,,,,'+17.70
5000,,,,,'+17.45
5500,,,,,'+17.67
6000,,,,,'+17.43
6500,,,,,'+17.62
