RPM,35,50,65,80,95
1500,'+0.12,'-0.94,'-0.64,'-1.14,
2000,'+0.93,'+1.12,'+0.72,'+0.53,'+0.66
2500,'-0.46,'+0.02,'+0.35,'-0.06,'+0.35
3000,'-0.96,'-0.71,'-0.16,'+0.23,'+1.08
3500,'+0.19,'-0.15,'+0.32,'-0.12,'-0.69
4000,'+0.82,'+0.57,'+0.24,'+0.10,'+0.50
4500,,'-1.07,'+0.15,'-0.07,'-0.99
5000,,'-0.85,'-0.28,'+0.01,'+0.19
5500,,'-1.04,'-0.21,'+0.81,'+1.17
6000,,,,,
6500,,,,,
