RPM,35,50,65,80,95
1500,,,,,
2000,,,'+0.50,'-0.76,'+0.00
2500,,,'-1.14,'+0.68,'+0.51
3000,,,'-0.11,'+0.71,'-1.07
3500,,,'+0.22,'-0.40,'+0.32
4000,,,,,
4500,,,,,
5000,,,,,
5500,,,,,
6000,,,,,
6500,,,,,
