RPM,35,50,65,80,95
1500,,,,,
2000,,,'-0.24,'+0.21,'+0.30
2500,,,'+0.63,'-0.06,'-0.85
3000,,,'-0.37,'+0.15,'+0.31
3500,,,'+0.21,'-0.50,'-0.59
4000,,,,,
4500,,,,,
5000,,,,,
5500,,,,,
6000,,,,,
6500,,,,,
