RPM,35,50,65,80,95
1500,,,,,
2000,,,'-0.19,'+0.04,'-0.03
2500,,,'-0.05,'+0.05,'-0.11
3000,,,'+0.13,'-0.11,'-0.14
3500,,,'-0.09,'-0.14,'-0.14
4000,,,,,
4500,,,,,
5000,,,,,
5500,,,,,
6000,,,,,
6500,,,,,
