RPM,35,50,65,80,95
1500,,,,,
2000,'+5.40,'+5.10,'+4.89,'+4.54,
2500,,,,,'+18.38
3000,,,,,'+10.68
3500,,,,,'+10.77
4000,,,,,'+13.35
4500,,,,,'+13.66
5000,,,,,'+16.34
5500,,,,,'+16.92
6000,,,,,'+17.27
6500,,,,,'+16.12
