RPM,35,50,65,80,95
1500,,,,,
2000,'+5.53,'+5.59,'+5.12,'+3.90,
2500,,,,,'+15.00
3000,,,,,'+10.88
3500,,,,,'+10.84
4000,,,,,'+13.55
4500,,,,,'+14.02
5000,,,,,'+15.00
5500,,,,,'+15.00
6000,,,,,'+15.00
6500,,,,,'+15.00
