RPM,35,50,65,80,95
1500,,,,,
2000,,,'+0.00,'+0.01,'+0.05
2500,,,'+0.07,'+0.04,'-0.05
3000,,,'-0.02,'+0.04,'+0.07
3500,,,'+0.04,'+0.02,'+0.02
4000,,,,,
4500,,,,,
5000,,,,,
5500,,,,,
6000,,,,,
6500,,,,,
