Time, (DWRT ATMO) Humidity, (DWRT ATMO) Pressure, (DWRT ATMO) Temperature 1, (DWRT ATMO) Temperature 2, (DWRT CPU) ????????????????????????????????????????????????????????????????, (DWRT CPU) Acceleration, (DWRT CPU) Correction Factor, (DWRT CPU) Distance, (DWRT CPU) Distance 1, (DWRT CPU) Engine RPM, (DWRT CPU) Force, (DWRT CPU) Force 1, (DWRT CPU) Force Drum 1, (DWRT CPU) Gear Ratio, (DWRT CPU) Inductive 1 Signal Strength, (DWRT CPU) Inductive 2 Signal Strength, (DWRT CPU) Internal Temp 1, (DWRT CPU) Internal Temp 2, (DWRT CPU) LC1 Volts Petrol AFR, (DWRT CPU) LC2 Volts Petrol AFR2, (DWRT CPU) Link 0 Status, (DWRT CPU) Link 1 Status, (DWRT CPU) Power, (DWRT CPU) Power (uncorrected), (DWRT CPU) Power Drum 1, (DWRT CPU) Power Drum 1 (uncorrected), (DWRT CPU) Sampling, (DWRT CPU) Speed, (DWRT CPU) Speed 1, (DWRT CPU) TCP RX kB/s, (DWRT CPU) TCP TX kB/s, (DWRT CPU) Torque, (DWRT CPU) Torque (uncorrected), (DWRT CPU) Torque Drum 1, (DWRT CPU) Torque Drum 1 (uncorrected), (DWRT CPU) UDP RX kB/s, (DWRT CPU) User Analog 1, (DWRT CPU) User Analog 2, (DWRT CPU) User Analog 3, (DWRT CPU) User Analog 4, (Gen) Sampling, (Gen) Sampling Duration, (Harley - ECU Type 14 SW Level 141) Accel Enrichment, (Harley - ECU Type 14 SW Level 141) Decel Enleanment, (Harley - ECU Type 14 SW Level 141) Desired Air/Fuel, (Harley - ECU Type 14 SW Level 141) Engine Speed, (Harley - ECU Type 14 SW Level 141) Engine Temperature, (Harley - ECU Type 14 SW Level 141) Front Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Front Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Front Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Idle Air Control Motor Position, (Harley - ECU Type 14 SW Level 141) Injector Time Front, (Harley - ECU Type 14 SW Level 141) Injector Time Rear, (Harley - ECU Type 14 SW Level 141) Intake Air Temperature, (Harley - ECU Type 14 SW Level 141) Manifold Absolute Pressure, (Harley - ECU Type 14 SW Level 141) Rear Adaptive Fuel Factor, (Harley - ECU Type 14 SW Level 141) Rear Closed Loop Integrator, (Harley - ECU Type 14 SW Level 141) Rear Spark Knock Retard, (Harley - ECU Type 14 SW Level 141) Spark Advance Front, (Harley - ECU Type 14 SW Level 141) Spark Advance Rear, (Harley - ECU Type 14 SW Level 141) Throttle Position, (Harley - ECU Type 14 SW Level 141) Throttle Position Sensor Voltage, (Harley - ECU Type 14 SW Level 141) VE Front, (Harley - ECU Type 14 SW Level 141) VE New Front, (Harley - ECU Type 14 SW Level 141) VE New Rear, (Harley - ECU Type 14 SW Level 141) VE Rear, (Harley - ECU Type 14 SW Level 141) Vehicle Speed, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Front, (Harley - ECU Type 14 SW Level 141) WBO2 AFR Rear, (PV) Accel Enrichment, (PV) AT Lambda 1, (PV) AT Lambda 2, (PV) Battery Voltage, (PV) Decel Enleanment, (PV) Desired Air/Fuel, (PV) Desired Lambda, (PV) Engine Speed, (PV) Engine Temperature, (PV) Front Adaptive Fuel Factor, (PV) Front Closed Loop Integrator, (PV) Front Spark Knock Retard, (PV) Idle Air Control Motor Position, (PV) Idle Set Speed, (PV) Injector Time Front, (PV) Injector Time Rear, (PV) Intake Air Temperature, (PV) Manifold Absolute Pressure, (PV) Rear Adaptive Fuel Factor, (PV) Rear Closed Loop Integrator, (PV) Rear Spark Knock Retard, (PV) Software Level, (PV) Spark Advance Front, (PV) Spark Advance Rear, (PV) Throttle Position, (PV) Throttle Position Sensor, (PV) Twistgrip Position, (PV) VE Front, (PV) VE New Front, (PV) VE New Rear, (PV) VE Rear, (PV) Vehicle Speed, (PV) Warm-up Fuel AFR (Lambda), (PV) Warm-up Fuel AFR (Ratio), (PV) WBO2 AFR Front, (PV) WBO2 AFR Rear, 
0, , , , , , 0.778, , , , , 20.12, 20.12, 20.12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.05, , , , , , 0.679, , , , , 17.775, 17.775, 17.775, , , , , , , , , , , , , , , 34.522, 34.522, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.1, , , , , , 0.719, , 3.138, 3.138, 2.221, 18.727, 18.727, 18.727, , 43.08, , , , 7.377, 22.39, , , 1.4, 1.427, 1.4, 1.427, , 34.543, 34.543, 0.025, 0.033, 3.465, 3.535, 3.465, 3.535, 4.238, 7.377, 22.39, , , 1, 0.048, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.15, , , , , , 1.489, , 8.16, 8.16, 2.085, 36.987, 36.987, 36.987, 60.335, 59.489, , 36.126, 34.369, 7.377, 22.39, 0, 0, 3.653, 3.723, 3.653, 3.723, 1, 34.606, 34.606, 0.025, 0.033, 9.936, 10.126, 9.936, 10.126, 4.237, 7.377, 22.39, , , 1, 0.143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.2, , , , , , 2.689, , 12.817, 12.817, 2.012, 65.46, 65.46, 65.46, 57.813, 62.382, , 35.946, 34.729, 7.378, 22.39, 0, 0, 6.584, 6.709, 6.584, 6.709, 1, 34.798, 34.798, 0.025, 0.033, 18.513, 18.863, 18.513, 18.863, 4.235, 7.378, 22.39, , , 1, 0.221, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.25, , , , , , 4.893, , 16.624, 16.624, 1.938, 117.759, 117.759, 117.759, 55.065, 65.276, , 35.766, 35.089, 7.379, 22.39, 0, 0, 11.096, 11.307, 11.096, 11.307, 1, 35.031, 35.031, 0.025, 0.033, 32.004, 32.608, 32.004, 32.608, 4.234, 7.379, 22.39, , , 1, 0.296, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0.3, , 100.44, 70.47, , , 6.896, 0.982, 19.86, 19.86, 1.864, 165.291, 165.291, 165.291, 51.948, 68.169, , 35.586, 35.449, 7.379, 22.39, 0, 0, 15.413, 15.706, 15.413, 15.706, 1, 35.331, 35.331, 0.025, 0.033, 45.795, 46.657, 45.795, 46.657, 4.243, 7.379, 22.39, , , 1, 0.347, 0.83, 0, 14.402, 1.818, 203, 0, 0, 0, 55.224, 4.926, 4.087, 116.6, 36.302, 100, 0, 0, 21.08, 21.104, 3.112, 0.666, 88.756, 0, 0, 96.272, 34.82, 0, 0, 0.83, 0, 0, 14, 0, 14.402, 0, 1.818, 203, 0, 0, 0, 55.224, 1, 0.005, 0.004, 116.6, 36.302, 100, 0, 0, 141, 21.08, 21.104, 3.112, 0.666, 0, 88.756, 0, 0, 96.272, 34.82, 0, 0, 0, 0, 
0.35, , 100.44, 70.47, , , 8.663, 0.982, 22.426, 22.426, 1.791, 207.226, 207.226, 207.226, 49.088, 71.063, , 35.406, 35.809, 7.38, 22.39, 0, 0, 19.499, 19.871, 19.499, 19.871, 1, 35.717, 35.717, 0.025, 0.033, 59.936, 61.064, 59.936, 61.064, 4.257, 7.38, 22.39, , , 1, 0.398, 1.2, 0, 14.422, 1.821, 203, 0, 0, 0, 58.024, 6.254, 5.303, 116.6, 38.45, 100, 0, 0, 22.08, 22.404, 4.518, 0.738, 91.956, 0, 0, 99.672, 35.068, 0, 0, 1.201, 0, 0, 14, 0, 14.422, 0, 1.821, 203, 0, 0, 0, 58.024, 1, 0.006, 0.005, 116.6, 38.45, 100, 0, 0, 141, 22.08, 22.404, 4.518, 0.738, 0, 91.956, 0, 0, 99.672, 35.068, 0, 0, 0, 0, 
0.4, , 100.44, 70.47, , , 10.092, 0.982, 25.01, 25.01, 1.717, 241.118, 241.118, 241.118, 46.431, 73.956, , 35.246, 36.154, 7.38, 22.39, 0, 0, 22.96, 23.397, 22.96, 23.397, 1, 36.169, 36.169, 0.025, 0.033, 73.471, 74.853, 73.471, 74.853, 4.272, 7.38, 22.39, , , 1, 0.448, 1.57, 0, 14.442, 1.823, 203, 0, 0, 0, 60.824, 7.582, 6.519, 116.6, 40.599, 100, 0, 0, 23.08, 23.704, 5.924, 0.81, 95.156, 0, 0, 103.072, 35.316, 0, 0, 1.573, 0, 0, 14, 0, 14.442, 0, 1.823, 203, 0, 0, 0, 60.824, 1, 0.007, 0.006, 116.6, 40.599, 100, 0, 0, 141, 23.08, 23.704, 5.924, 0.81, 0, 95.156, 0, 0, 103.072, 35.316, 0, 0, 0, 0, 
0.45, , 100.44, 70.47, , , 11.329, 0.982, 27.605, 27.605, 1.643, 270.485, 270.485, 270.485, 43.808, 76.85, , 35.318, 36.334, 7.379, 22.39, 0, 0, 26.069, 26.563, 26.069, 26.563, 1, 36.701, 36.701, 0.025, 0.033, 86.666, 88.296, 86.666, 88.296, 4.287, 7.379, 22.39, , , 1, 0.498, 1.94, 0, 14.462, 1.825, 203, 0, 0, 0, 63.624, 8.91, 7.735, 116.6, 42.748, 100, 0, 0, 24.08, 25.004, 7.329, 0.882, 98.356, 0, 0, 106.472, 35.564, 0, 0, 1.944, 0, 0, 14, 0, 14.462, 0, 1.825, 203, 0, 0, 0, 63.624, 1, 0.009, 0.008, 116.6, 42.748, 100, 0, 0, 141, 24.08, 25.004, 7.329, 0.882, 0, 98.356, 0, 0, 106.472, 35.564, 0, 0, 0, 0, 
