cyl,row_idx,col_idx,rpm,tps_pct,ve_base,ve_new,delta,delta_pct
VE (TPS based/Front Cyl),13,5,4000,15.0,130.90,126.97,-3.927,-3.00
VE (TPS based/Front Cyl),13,7,4000,25.0,127.63,124.40,-3.240,-2.54
VE (TPS based/Front Cyl),13,8,4000,30.0,117.34,116.43,-0.902,-0.77
VE (TPS based/Front Cyl),14,1,4500,2.3,97.50,98.79,+1.292,+1.33
VE (TPS based/Front Cyl),14,2,4500,5.0,105.09,102.57,-2.512,-2.39
VE (TPS based/Front Cyl),14,3,4500,7.3,101.00,102.68,+1.674,+1.66
VE (TPS based/Front Cyl),14,4,4500,10.0,106.06,108.95,+2.885,+2.72
VE (TPS based/Front Cyl),14,5,4500,15.0,123.20,121.14,-2.056,-1.67
VE (TPS based/Front Cyl),14,6,4500,20.0,133.10,129.11,-3.993,-3.00
VE (TPS based/Front Cyl),14,7,4500,25.0,120.50,121.64,+1.135,+0.94
VE (TPS based/Front Cyl),14,9,4500,40.0,115.00,113.76,-1.240,-1.08
VE (TPS based/Front Cyl),14,10,4500,60.0,112.66,109.87,-2.795,-2.48
VE (TPS based/Front Cyl),15,4,5000,10.0,101.00,104.03,+3.030,+3.00
VE (TPS based/Front Cyl),15,5,5000,15.0,117.00,115.84,-1.165,-1.00
VE (TPS based/Front Cyl),15,9,5000,40.0,112.50,113.85,+1.347,+1.20
VE (TPS based/Front Cyl),15,10,5000,60.0,105.50,108.67,+3.165,+3.00
VE (TPS based/Rear Cyl),5,0,1500,0.0,83.50,86.00,+2.505,+3.00
VE (TPS based/Rear Cyl),5,1,1500,2.3,95.50,93.75,-1.750,-1.83
VE (TPS based/Rear Cyl),5,5,1500,15.0,96.00,97.19,+1.188,+1.24
VE (TPS based/Rear Cyl),5,6,1500,20.0,88.00,90.64,+2.640,+3.00
VE (TPS based/Rear Cyl),5,7,1500,25.0,83.50,86.00,+2.505,+3.00
VE (TPS based/Rear Cyl),5,8,1500,30.0,79.50,81.89,+2.385,+3.00
VE (TPS based/Rear Cyl),5,9,1500,40.0,79.20,81.56,+2.356,+2.98
VE (TPS based/Rear Cyl),5,10,1500,60.0,75.50,77.77,+2.265,+3.00
VE (TPS based/Rear Cyl),6,0,1750,0.0,84.00,86.52,+2.520,+3.00
VE (TPS based/Rear Cyl),6,1,1750,2.3,98.50,95.55,-2.955,-3.00
VE (TPS based/Rear Cyl),6,3,1750,7.3,102.50,103.87,+1.366,+1.33
VE (TPS based/Rear Cyl),6,4,1750,10.0,110.00,108.30,-1.697,-1.54
VE (TPS based/Rear Cyl),6,5,1750,15.0,109.50,107.67,-1.827,-1.67
VE (TPS based/Rear Cyl),6,6,1750,20.0,107.50,104.28,-3.225,-3.00
VE (TPS based/Rear Cyl),6,7,1750,25.0,100.50,98.66,-1.836,-1.83
VE (TPS based/Rear Cyl),6,8,1750,30.0,103.40,100.30,-3.102,-3.00
VE (TPS based/Rear Cyl),6,9,1750,40.0,92.40,91.71,-0.693,-0.75
VE (TPS based/Rear Cyl),6,10,1750,60.0,85.50,86.17,+0.667,+0.78
