cylinder,RPM,tps_pct,n_samples,ve_base_pct,ve_new_pct,delta_pct
rear,4500,60.0,9,107.000,114.807,+7.296
rear,4500,100.0,48,105.000,99.502,-5.236
rear,5000,15.0,27,119.500,124.280,+4.000
rear,5000,100.0,67,105.500,109.450,+3.744
rear,5500,40.0,8,116.000,122.760,+5.828
rear,5500,60.0,10,110.500,121.550,+10.000
rear,5500,80.0,5,107.000,117.700,+10.000
rear,5500,100.0,78,106.500,97.929,-8.048
rear,6000,60.0,11,99.500,109.450,+10.000
rear,6000,80.0,10,97.000,106.700,+10.000
rear,6000,100.0,75,97.000,101.346,+4.480
