cylinder,RPM,MAP_kpa,source,spark_base_deg,spark_new_deg,delta_deg
front,2000,60.0,cam_advance,30.00,31.00,+1.00
front,2000,70.0,cam_advance,29.00,30.00,+1.00
front,2000,80.0,cam_advance,25.00,26.00,+1.00
front,2000,90.0,cam_advance,22.00,23.00,+1.00
front,2000,95.0,cam_advance,22.00,23.00,+1.00
front,2250,60.0,cam_advance,34.00,35.00,+1.00
front,2250,70.0,cam_advance,31.00,32.00,+1.00
front,2250,80.0,cam_advance,27.00,28.00,+1.00
front,2250,90.0,cam_advance,25.00,26.00,+1.00
front,2250,95.0,cam_advance,24.00,25.00,+1.00
front,2500,60.0,cam_advance,37.00,38.00,+1.00
front,2500,70.0,cam_advance,33.00,34.00,+1.00
front,2500,80.0,cam_advance,29.00,30.00,+1.00
front,2500,90.0,cam_advance,28.00,29.00,+1.00
front,2500,95.0,cam_advance,27.00,28.00,+1.00
front,2750,60.0,cam_advance,39.00,40.00,+1.00
front,2750,70.0,cam_advance,35.00,36.00,+1.00
front,2750,80.0,cam_advance,31.00,32.00,+1.00
front,2750,90.0,cam_advance,28.00,29.00,+1.00
front,2750,95.0,cam_advance,27.00,28.00,+1.00
front,3000,60.0,cam_advance,41.00,42.00,+1.00
front,3000,70.0,cam_advance,37.00,38.00,+1.00
front,3000,80.0,cam_advance,32.00,33.00,+1.00
front,3000,90.0,cam_advance,29.00,30.00,+1.00
front,3000,95.0,cam_advance,28.00,29.00,+1.00
front,3500,60.0,cam_advance,44.00,45.00,+1.00
front,3500,70.0,cam_advance,39.00,40.00,+1.00
front,3500,80.0,cam_advance,33.00,34.00,+1.00
front,3500,90.0,cam_advance,30.00,31.00,+1.00
front,3500,95.0,cam_advance,29.00,30.00,+1.00
front,4000,60.0,cam_advance,44.00,45.00,+1.00
front,4000,70.0,cam_advance,40.00,41.00,+1.00
front,4000,80.0,cam_advance,35.00,36.00,+1.00
front,4000,90.0,cam_advance,31.00,32.00,+1.00
front,4000,95.0,cam_advance,31.00,32.00,+1.00
front,5000,95.0,knock_notch,32.00,31.00,-1.00
front,5500,90.0,knock_notch,33.00,32.00,-1.00
front,5500,95.0,knock_notch,36.00,34.00,-2.00
front,5500,100.0,knock_notch,36.00,35.00,-1.00
front,6000,95.0,knock_notch,37.00,36.00,-1.00
rear,2000,60.0,cam_advance,31.00,32.00,+1.00
rear,2000,70.0,cam_advance,31.00,32.00,+1.00
rear,2000,80.0,cam_advance,29.00,30.00,+1.00
rear,2000,90.0,cam_advance,26.00,27.00,+1.00
rear,2000,95.0,cam_advance,26.00,27.00,+1.00
rear,2250,60.0,cam_advance,34.00,35.00,+1.00
rear,2250,70.0,cam_advance,34.00,35.00,+1.00
rear,2250,80.0,cam_advance,30.00,31.00,+1.00
rear,2250,90.0,cam_advance,27.00,28.00,+1.00
rear,2250,95.0,cam_advance,26.00,27.00,+1.00
rear,2500,60.0,cam_advance,36.00,37.00,+1.00
rear,2500,70.0,cam_advance,35.00,36.00,+1.00
rear,2500,80.0,cam_advance,31.00,32.00,+1.00
rear,2500,90.0,cam_advance,28.00,29.00,+1.00
rear,2500,95.0,cam_advance,27.00,28.00,+1.00
rear,2750,60.0,cam_advance,40.00,41.00,+1.00
rear,2750,70.0,cam_advance,37.00,38.00,+1.00
rear,2750,80.0,cam_advance,31.00,32.00,+1.00
rear,2750,90.0,cam_advance,28.00,29.00,+1.00
rear,2750,95.0,cam_advance,27.00,28.00,+1.00
rear,3000,60.0,cam_advance,42.00,43.00,+1.00
rear,3000,70.0,cam_advance,38.00,39.00,+1.00
rear,3000,80.0,cam_advance,32.00,33.00,+1.00
rear,3000,90.0,cam_advance,28.00,29.00,+1.00
rear,3000,95.0,cam_advance,28.00,29.00,+1.00
rear,3500,60.0,cam_advance,43.00,44.00,+1.00
rear,3500,70.0,cam_advance,39.00,40.00,+1.00
rear,3500,80.0,cam_advance,32.00,33.00,+1.00
rear,3500,90.0,cam_advance,29.00,30.00,+1.00
rear,3500,95.0,cam_advance,28.00,29.00,+1.00
rear,4000,60.0,cam_advance,43.00,44.00,+1.00
rear,4000,70.0,cam_advance,38.00,39.00,+1.00
rear,4000,80.0,cam_advance,33.00,34.00,+1.00
rear,4000,90.0,cam_advance,29.00,30.00,+1.00
rear,4000,95.0,cam_advance,29.00,30.00,+1.00
rear,5000,95.0,knock_notch,31.00,30.00,-1.00
rear,5500,90.0,knock_notch,33.00,32.00,-1.00
rear,5500,95.0,knock_notch,34.00,32.00,-2.00
rear,5500,100.0,knock_notch,34.00,33.00,-1.00
rear,6000,95.0,knock_notch,35.00,34.00,-1.00
