RPM,35,50,65,80,95
1500,,,,,
2000,'+13.07,'+12.76,,,
2500,,'+13.06,'+16.97,,
3000,,,'+17.44,'+17.67,'+18.33
3500,,,,,'+17.67
4000,,,,,'+17.55
4500,,,,,'+17.36
5000,,,,,'+17.55
5500,,,,,'+17.63
6000,,,,,'+17.55
6500,,,,,'+17.61
