RPM,35,50,65,80,95
1500,,,,,'+16.72
2000,,,,,'+16.34
2500,,,,,'+16.78
3000,,,,,'+18.13
3500,,,,,'+17.25
4000,,,,,'+16.17
4500,,,,,'+16.24
5000,,,,,'+16.60
5500,,,,,'+15.76
6000,,,,,'+16.32
6500,,,,,'+16.93
