RPM,35,50,65,80,95
1500,,,,,'+17.33
2000,,,,,'+16.66
2500,,,,,'+17.10
3000,,,,,'+17.66
3500,,,,,'+15.44
4000,,,,,'+16.16
4500,,,,,'+16.96
5000,,,,,'+16.65
5500,,,,,'+16.60
6000,,,,,'+17.14
6500,,,,,'+15.15
