RPM,35,50,65,80,95
1500,,,,,35.0
2000,,,,,49.9
2500,,,,,66.2
3000,,,,,79.0
3500,,,,,87.1
4000,,,,,89.7
4500,,,,,86.6
5000,,,,,77.9
5500,,,,,64.7
6000,,,,,48.1
6500,,,,,34.0
