RPM,0,10,20,30,40,50,60,70,80,100
1000,-2.00,-1.44,-0.24,+0.40,+0.96,+2.24,+3.60,+4.96,+5.76,+5.44
1500,-2.56,-1.68,-0.64,+0.16,+0.64,+1.68,+3.04,+4.40,+5.20,+4.72
2000,-3.28,-2.24,-1.20,-0.24,+0.40,+1.20,+2.40,+3.84,+4.64,+4.16
2500,-4.16,-2.80,-1.60,-0.64,+0.08,+0.80,+2.00,+3.20,+3.84,+3.60
3000,-4.32,-3.36,-2.00,-0.96,-0.16,+0.64,+1.60,+2.80,+3.36,+3.04
3500,-3.84,-3.04,-1.76,-0.80,-0.24,+0.40,+1.20,+2.40,+2.80,+2.56
4000,-3.36,-2.56,-1.44,-0.64,-0.16,+0.16,+0.96,+2.00,+2.40,+2.24
