RPM,35,50,65,80,95
1500,,,,,
2000,'+5.64,'+6.14,'+5.48,'+3.01,
2500,,,,,'+17.95
3000,,,,,'+10.18
3500,,,,,'+10.50
4000,,,,,'+14.10
4500,,,,,'+14.10
5000,,,,,'+16.55
5500,,,,,'+18.19
6000,,,,,'+18.22
6500,,,,,'+17.03
